r/R,mean_delta_x,std_delta_x,mean_delta_y,std_delta_y,mean_delta_z,std_delta_z
0.2001,0.0434,0.0026,-0.0126,0.0013,-0.0162,0.004
0.2499,-0.0157,0.0019,-0.0235,0.0031,-0.0061,0.0079
0.2998,-0.0418,0.0016,-0.0514,0.0053,-0.0781,0.013
0.3498,-0.055,0.0016,-0.0961,0.0091,-0.1268,0.0216
0.3913,-0.0646,0.0024,-0.1332,0.0133,-0.1839,0.0303
0.4496,-0.102,0.0026,-0.1704,0.0173,-0.3251,0.0405
0.4997,-0.1255,0.003,-0.2004,0.0207,-0.4803,0.0503
0.5387,-0.1535,0.0028,-0.2193,0.023,-0.6758,0.0569
0.5996,-0.1964,0.0031,-0.2466,0.0273,-0.9893,0.0678
0.6498,-0.2235,0.0031,-0.2726,0.0316,-1.3829,0.0783
0.6998,-0.2741,0.003,-0.2945,0.0354,-1.787,0.0876
0.75,-0.3002,0.0029,-0.3091,0.0391,-2.259,0.0965
0.8001,-0.3363,0.0029,-0.3486,0.043,-2.7745,0.1069
0.8497,-0.381,0.0031,-0.3719,0.0474,-3.3516,0.1185
0.9102,-0.4236,0.0032,-0.3486,0.0526,-4.1247,0.1339
0.9734,-0.3914,0.0037,-0.3834,0.0581,-4.8769,0.1475
